scene_id,scene_label,scene_name,terrain_class,method,method_label,method_family,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,coverage_delta_vs_fixed_pp,excess_overlap_pct,overlap_cleanup_vs_fixed_pp,score,feasible_C97_O3,planning_time_s,heading_policy,spacing_policy,swath_quantile,swath_ref_m,spacing_m
usgs_southern_cascadia_30m_medium,USGS Medium,Usgs Cascadia 30 M Medium,usgs_cascadia_medium,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,5,51.96,-0.05777007510109982,99.25,-0.75,8.555555555555554,-6.922222222222221,77.62666666666667,0,0.07487300000502728,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
usgs_southern_cascadia_30m_medium,USGS Medium,Usgs Cascadia 30 M Medium,usgs_cascadia_medium,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,135.0,8,56.321110268334294,-8.45582566596244,99.99444444444444,-0.005555555555559977,3.1909985962037037,-1.5576652628703709,65.8941060569454,0,0.004307875002268702,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
usgs_southern_cascadia_30m_medium,USGS Medium,Usgs Cascadia 30 M Medium,usgs_cascadia_medium,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,0.0,6,51.93,0.0,100.0,0.0,1.6333333333333329,0.0,56.83,1,0.0888384580030106,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1800.0,1530.0
usgs_southern_cascadia_30m_medium,USGS Medium,Usgs Cascadia 30 M Medium,usgs_cascadia_medium,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,0.0,6,52.11,-0.34662045060658525,100.0,0.0,0.0,1.6333333333333329,52.11,1,1.006472416978795,Deterministic terrain-aware adaptive-spacing baseline.,,,,
usgs_southern_cascadia_30m_medium,USGS Medium,Usgs Cascadia 30 M Medium,usgs_cascadia_medium,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,0.0,6,52.00652797081012,-0.14736755403450602,99.33333333333333,-0.6666666666666714,0.0,1.6333333333333329,52.00652797081012,1,0.1983267499890644,Representative seed-0 local GA cleanup from the adaptive base.,,,,
usgs_southern_cascadia_30m_high,USGS High,Usgs Cascadia 30 M High,usgs_cascadia_high,Fixed-Spacing,Fixed,paper_reference,0,0.0,12,97.254304852,0.0,97.2,0.0,29.960005980349994,0.0,187.13432279305,0,0.05144225002732128,Reference 0-degree fixed-spacing plan from the main benchmark.,,,,
usgs_southern_cascadia_30m_high,USGS High,Usgs Cascadia 30 M High,usgs_cascadia_high,Min-Span Boustrophedon,Min-span,external_heuristic,0,90.0,6,61.61740034,36.64300985568881,92.44444444444444,-4.75555555555556,7.4880337369886965,22.471972243361297,448.52594599541067,0,0.07290741699398495,Choose the heading with minimum cross-track span on a 5-degree grid.,scene-wide q0.30 swath times target non-overlap,0.3,1412.5996607400045,1200.7097116290038
usgs_southern_cascadia_30m_high,USGS High,Usgs Cascadia 30 M High,usgs_cascadia_high,Contour-Parallel Fixed-Width,Contour,external_heuristic,0,175.0,9,75.40730061876583,22.463791465560917,92.60000000000001,-4.599999999999994,15.341336559534332,14.618669420815662,473.4313102973681,0,0.001421458990080282,"Estimate the dominant terrain-gradient direction, rotate by 90 degrees, and snap the contour-parallel line heading to the nearest 5 degrees.",scene-wide q0.30 swath times target non-overlap,0.3,1417.9932519586139,1205.2942641648217
usgs_southern_cascadia_30m_high,USGS High,Usgs Cascadia 30 M High,usgs_cascadia_high,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,0,90.0,6,61.61740034,36.64300985568881,92.44444444444444,-4.75555555555556,7.4880337369886965,22.471972243361297,448.52594599541067,0,0.10804270900553092,"Scan 5-degree headings and select the shortest fixed-width lawnmower distance; coverage and overlap are audited after selection, not used to choose the heading.",scene-wide q0.30 swath times target non-overlap,0.3,1412.5996607400045,1200.7097116290038
usgs_southern_cascadia_30m_high,USGS High,Usgs Cascadia 30 M High,usgs_cascadia_high,Adaptive Spacing w/o GA,Adaptive,paper_reference,0,135.0,12,73.89166194729708,24.02221982898938,98.55000000000001,1.3500000000000085,2.2372345564469054,27.72277142390309,80.6033656166378,1,1.0195432920008898,Deterministic terrain-aware adaptive-spacing baseline.,,,,
usgs_southern_cascadia_30m_high,USGS High,Usgs Cascadia 30 M High,usgs_cascadia_high,Hybrid GA Seed-0,Hybrid s0,paper_reference,0,135.0,12,72.8691042136253,25.073646534704757,98.55000000000001,1.3500000000000085,1.5733972802907423,28.386608700059252,77.58929605449754,1,0.2938869580102619,Representative seed-0 local GA cleanup from the adaptive base.,,,,
