evidence_block,scene_id,scene_name,scene_group,terrain_class,method,seed,n_segments,path_length_km,path_without_transition_km,boundary_transition_km,heading_turn_transition_km_at_base_radius,base_min_turn_radius_m,coverage_pct,excess_overlap_pct,line_count,feasible,radius_m,line_change_count,line_change_turn_arc_km,heading_turn_arc_km,total_turn_arc_km,vehicle_length_km,turn_arc_fraction_pct,mission_time_h,vehicle_length_gain_vs_fixed_pct,mission_time_gain_vs_fixed_pct
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,15,1,201.43359916579348,201.43359916579348,0.0,0.0,0.0,99.33333333333331,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3605899827807,1.912241690246661,38.756959407364434,3.5613939823199927,3.566752631621828
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,15,1,201.43359916579348,201.43359916579348,0.0,0.0,0.0,99.33333333333331,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.28758079976797,3.752722260901202,40.21140045069304,3.5667526316218208,3.57688683699212
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,16,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.4049545270949,0.9653134620337234,38.031194432516386,3.554910010005142,3.5577028997602236
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,16,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3684499355885,1.9121685040807863,38.7584149541807,3.55770289976023,3.563131008348598
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,16,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.29544075257576,3.7525813298815613,40.21285599750931,3.563131008348614,3.5733965741859026
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,17,1,201.4275411922689,201.4275411922689,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.39103660076253,0.9653795178534722,38.02861703875113,3.561509237938012,3.5642388442384947
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,17,1,201.4275411922689,201.4275411922689,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.35453200925613,1.9122981015146217,38.75583756041544,3.5642388442384902,3.569543958547255
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,17,1,201.4275411922689,201.4275411922689,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.2815228262434,3.7528308891823547,40.21027860374405,3.56954395854726,3.579576919259877
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,18,1,201.4285608661036,201.4285608661036,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.39205627459722,0.9653746780762806,38.028805867239036,3.5610257564270733,3.563759999085102
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,18,1,201.4285608661036,201.4285608661036,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.35555168309082,1.912288606176793,38.756026388903344,3.563759999085102,3.569074124366186
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,18,1,201.4285608661036,201.4285608661036,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.28254250007808,3.7528126045064423,40.21046743223195,3.5690741243661783,3.579124126508241
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,19,1,201.43873314156167,201.43873314156167,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.4022285500553,0.965326399071593,38.0306896219535,3.55620254047229,3.5589830354754373
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,19,1,201.43873314156167,201.43873314156167,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3657239585489,1.912193885762488,38.757910143617806,3.5589830354754493,3.564387054298285
