scene_id,scene_name,target_overlap,quantile,used_ga_cleanup,orientation_deg,line_count,path_length_km,coverage_pct,excess_overlap_pct,cross_feasible_rate,cross_coverage_p05,cross_overlap_p95,adverse_feasible_rate,adverse_coverage_p05,adverse_overlap_p95,selection_score
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.3,0.3,0,90.0,71,7991.920000000063,99.16666666666667,10.000000000000002,0.0,98.18833333333335,10.821653323126016,0.0125,96.76972222222223,11.918248837793515,1344.9638500043663
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.3,0.34,0,90.0,71,7991.920000000063,99.16666666666667,10.000000000000002,0.0,98.18833333333335,10.821653323126016,0.0125,96.76972222222223,11.918248837793515,1344.9638500043663
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.05,0.18,0,135.0,12,74.6926933788125,99.33888888888889,3.0206319654887412,0.575,99.07666666666667,3.8207021703065775,0.5375,97.60972222222223,4.397340969427258,227.53899154788434
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.05,0.22,0,150.0,12,73.67165520949035,98.53333333333333,2.6082527211784594,0.875,98.01305555555555,3.17634463204491,0.525,94.9186111111111,3.8933027430151106,202.4887066385463
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.05,0.26,0,135.0,12,73.14453394770378,99.11666666666666,1.7950463837160515,1.0,98.66888888888889,2.346054556481757,0.8125,96.44222222222223,3.2371587971549167,61.273626055831805
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.05,0.3,0,135.0,12,71.92889253032074,98.86111111111111,1.568176918703822,1.0,98.39416666666666,1.8814103012199934,0.7875,95.90555555555555,2.5522457901285827,73.08055555555566
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.05,0.34,1,135.0,11,68.38571767928426,98.03333333333333,0.9356498246204428,0.975,97.40083333333332,1.3251762732462093,0.7,95.82194444444445,2.282513140239274,96.87944444444419
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.1,0.18,0,135.0,13,78.14515891788218,99.43333333333332,4.742657068062615,0.0,99.31083333333332,5.52738447309369,0.05,98.61361111111111,6.43703831512871,651.954442063429
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.1,0.22,1,135.0,12,73.37941694252596,98.63333333333333,2.128421699818817,0.975,98.17666666666666,2.8457440621259673,0.7375,96.74638888888887,3.6186749704313566,84.33452508269177
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.1,0.26,0,135.0,12,73.98539741728227,98.98333333333333,2.3558302240986873,0.95,98.6763888888889,2.9838786555765546,0.7875,97.13499999999999,3.611134451437477,73.07974703931707
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.1,0.3,1,135.0,12,72.11489383660428,98.82777777777778,1.4173866266534898,1.0,98.3275,1.8774033421952372,0.85,96.64861111111111,2.7595348517216385,40.63611111111118
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.1,0.34,0,135.0,12,72.41194694973566,98.69444444444444,1.7552931729886398,1.0,98.25694444444444,2.150174546909225,0.825,96.07888888888888,2.5083211220192996,60.69888888888904
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.15,0.18,0,120.0,13,82.4056739774924,99.65,6.582484346248742,0.0,99.61083333333332,7.245037798369853,0.0,99.24805555555555,8.485479002637755,948.4131570494221
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.15,0.22,0,120.0,12,79.93424879380943,99.18333333333334,5.840669589335687,0.0,99.0438888888889,6.685950406149849,0.0,98.63277777777778,7.3188342428918824,790.0147378181963
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.15,0.26,0,135.0,13,78.59910962928994,99.36666666666667,4.4663083877717575,0.0125,99.25555555555555,5.337564015372732,0.0625,98.62611111111111,6.179709778697967,658.0205432989574
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.15,0.3,1,135.0,13,76.26423550353944,99.10555555555555,2.765075846052384,0.725,98.89277777777778,3.5556859705934407,0.5375,98.03861111111111,4.480887498488887,279.246913426268
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.15,0.34,1,135.0,13,75.19337839839079,99.05000000000001,2.256083506443756,0.9375,98.8386111111111,3.0344622511900834,0.7375,97.75861111111111,3.8255982638945296,132.50904000215436
usgs_southern_cascadia_30m_high,USGS Cascadia 30 m High,0.2,0.18,0,135.0,14,84.96970368529597,99.5,9.108931105555666,0.0,99.44388888888889,10.447594934897761,0.0,99.13222222222221,12.405000470156565,1228.857756125737
