beam_angle_deg,scene_id,scene_name,method,seed,orientation_deg,line_count,path_length_km,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,planning_time_s,feasible,planning_depth_bias_m
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,10,0.0,116,15038.15656699938,0.847595509050372,98.66666666666667,0.12414591715352193,0.875550648997887,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,11,0.0,116,15038.138430800414,0.8477150880511439,98.66666666666667,0.27074978347474526,0.8751784189953469,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,12,0.0,116,15038.186954711995,0.8473951510637158,99.33333333333333,0.15391068844486547,0.8767129729967564,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,13,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.999972499004798,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,14,0.0,116,15038.032532372623,0.8484133174983879,98.66666666666667,0.22994991474349066,0.9025371879979502,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,15,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8715670600067824,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,16,0.0,116,15038.223860078419,0.8471518196551613,99.33333333333333,0.0,0.8727569809998386,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,17,0.0,116,15038.195937012899,0.8473359272666691,99.33333333333333,0.07733462461178231,0.872033815991017,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,18,0.0,116,15038.038175310932,0.8483761114153632,98.66666666666667,0.28774862639890336,0.871518001993536,1,150.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,19,0.0,116,15038.152762763526,0.8476205918542694,98.66666666666667,0.07262029135951134,0.8725125920027494,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082014,0.0,99.33333333333333,0.8148148148148147,0.05519549100426957,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,1.0955816969944863,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5357491799950367,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5362969120033085,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5380117739987327,1,150.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000046,0.6551222668213291,100.0,0.0,0.5368175860057818,1,150.0
