scene_id,scene_label,terrain_class,method,method_label,method_family,radius_m,line_count,line_change_count,geometric_length_km,turn_arc_km,effective_length_km,turn_arc_share_pct,mission_time_h,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,feasible_C97_O3,effective_length_gain_vs_fixed_pct,mission_time_gain_vs_fixed_pct
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,25.0,65,64,6669.139443203906,5.026548245743669,6674.1659914496495,0.07531350362252359,1236.8875073509987,0.4682793113313309,99.99444444444444,0.0,1,0.4772537010356349,0.4862129684838277
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,50.0,65,64,6669.139443203906,10.053096491487338,6679.192539695393,0.15051365014169532,1238.7491918864594,0.4682793113313309,99.99444444444444,0.0,1,0.486212968483825,0.5040862892448789
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,100.0,65,64,6669.139443203906,20.106192982974676,6689.245636186881,0.30057489403896304,1242.4725609573804,0.4682793113313309,99.99444444444444,0.0,1,0.5040862892448728,0.5396531354911064
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Contour-Parallel Fixed-Width,Contour,external_heuristic,200.0,65,64,6669.139443203906,40.21238596594935,6709.351829169856,0.599348297567588,1249.919299099223,0.4682793113313309,99.99444444444444,0.0,1,0.5396531354910754,0.6100760309578586
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,25.0,59,58,6656.3676243300515,4.5553093477052,6660.922933677757,0.06838856106071227,1234.347822782493,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.6747293827227641,0.6905432958381494
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,50.0,59,58,6656.3676243300515,9.1106186954104,6665.478243025462,0.1366836461426223,1236.0349743927543,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.6905432958381555,0.7220913150521155
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,100.0,59,58,6656.3676243300515,18.2212373908208,6674.588861720872,0.2729941539219079,1239.4092776132766,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.7220913150521303,0.7848699986418527
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,200.0,59,58,6656.3676243300515,36.4424747816416,6692.8100991116935,0.5445018496263392,1246.1578840543214,0.6588887774647991,99.17777777777778,0.30069568518518475,1,0.7848699986418399,0.909172745120293
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,25.0,59,58,6656.620000000051,4.5553093477052,6661.175309347756,0.06838596998509626,1234.394559017678,0.6551222668214232,100.0,0.0,1,0.6709660481264189,0.6867831319370654
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,50.0,59,58,6656.620000000051,9.1106186954104,6665.730618695461,0.13667847107198916,1236.0817106279392,0.6551222668214232,100.0,0.0,1,0.6867831319370573,0.7183374765401896
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,100.0,59,58,6656.620000000051,18.2212373908208,6674.841237390871,0.272983832016105,1239.4560138484617,0.6551222668214232,100.0,0.0,1,0.7183374765401903,0.7811287472784662
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Adaptive Spacing w/o GA,Adaptive,paper_reference,200.0,59,58,6656.620000000051,36.4424747816416,6693.062474781693,0.5444813180655428,1246.2046202895062,0.6551222668214232,100.0,0.0,1,0.7811287472784576,0.9054564165021397
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,25.0,59,58,6656.620000000051,4.5553093477052,6661.175309347756,0.06838596998509626,1234.394559017678,0.6551222668214232,100.0,0.0,1,0.6709660481264189,0.6867831319370654
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,50.0,59,58,6656.620000000051,9.1106186954104,6665.730618695461,0.13667847107198916,1236.0817106279392,0.6551222668214232,100.0,0.0,1,0.6867831319370573,0.7183374765401896
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,100.0,59,58,6656.620000000051,18.2212373908208,6674.841237390871,0.272983832016105,1239.4560138484617,0.6551222668214232,100.0,0.0,1,0.7183374765401903,0.7811287472784662
gebco_monterey_canyon_complex,GEBCO Monterey,complex_relief,Hybrid GA Seed-0,Hybrid s0,paper_reference,200.0,59,58,6656.620000000051,36.4424747816416,6693.062474781693,0.5444813180655428,1246.2046202895062,0.6551222668214232,100.0,0.0,1,0.7811287472784576,0.9054564165021397
gebco_mariana_trench_complex,GEBCO Mariana,complex_relief,Fixed-Spacing,Fixed,paper_reference,25.0,146,145,32015.95814679676,11.388273369262999,32027.34642016602,0.0355579673066276,5933.099017321349,0.0,99.33333333333333,0.6814814814814812,1,0.0,0.0
gebco_mariana_trench_complex,GEBCO Mariana,complex_relief,Fixed-Spacing,Fixed,paper_reference,50.0,146,145,32015.95814679676,22.776546738525997,32038.734693535283,0.07109065622095809,5937.316896347002,0.0,99.33333333333333,0.6814814814814812,1,0.0,0.0
