crop_label,scene_id,target_prior_cell_m,actual_prior_cell_m,fine_grid_resolution_m,prior_grid_ny,prior_grid_nx,method,method_label,seed,orientation_deg,line_count,planned_path_length_km,replay_path_length_km,planned_coverage_pct,replay_coverage_pct,coverage_loss_pp,planned_excess_overlap_pct,replay_excess_overlap_pct,overlap_increase_pp,planned_feasible,replay_feasible,planning_time_s,path_gain_vs_fixed_replay_pct
high,usgs_southern_cascadia_30m_fine_high,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,1,150.0,12,73.6692382156626,73.6692382156626,98.91826923076923,97.82916666666667,1.0891025641025607,2.153043321826753,1.9410691498717472,-0.2119741719550059,1,1,0.08368149999296293,17.956816117158382
high,usgs_southern_cascadia_30m_fine_high,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,2,150.0,12,73.75007702504287,73.75007702504287,99.27884615384616,97.975,1.303846153846166,2.0840124764296704,1.8482751454461557,-0.23573733098351468,1,1,0.07367874999181367,17.86678840052258
high,usgs_southern_cascadia_30m_fine_high,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,3,150.0,12,73.75342817143677,73.75342817143677,99.27884615384616,97.8861111111111,1.3927350427350547,2.0107269828770553,1.770329569807761,-0.2403974130692943,1,1,0.09165691598900594,17.863056330984843
high,usgs_southern_cascadia_30m_fine_high,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,4,150.0,12,74.05482488736256,74.05482488736256,99.27884615384616,97.91805555555555,1.3607905982906061,2.1815164475485003,1.9159587185661897,-0.26555772898231056,1,1,0.05854383300174959,17.527400000265153
high,usgs_southern_cascadia_30m_fine_high,600.0,618.0,31.004,16,13,Fixed-Spacing,Fixed,0,0.0,12,97.23455138,97.23455138,95.67307692307693,96.3236111111111,-0.6505341880341717,30.942336743719554,30.592981961427075,-0.3493547822924796,0,0,0.002304084016941488,0.0
high,usgs_southern_cascadia_30m_fine_high,600.0,618.0,31.004,16,13,Adaptive Spacing w/o GA,Adaptive,0,120.0,11,71.76722720926323,71.76722720926323,98.5576923076923,98.28611111111111,0.2715811965811952,2.591557918123038,2.5249893828415586,-0.06656853528147932,1,1,0.30873862499720417,26.19164053239526
high,usgs_southern_cascadia_30m_fine_high,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,0,120.0,11,71.19175036870344,71.19175036870344,99.51923076923077,98.40833333333333,1.1108974358974422,2.2568142242459506,2.1747627442944695,-0.0820514799514811,1,1,0.055404167011147365,26.78348451418192
high,usgs_southern_cascadia_30m_fine_high,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,1,120.0,11,70.76527328919902,70.76527328919902,99.03846153846155,97.95833333333334,1.0801282051282044,2.539313859996,2.4850959054987474,-0.05421795449725275,1,1,0.041702124988660216,27.22209103156864
high,usgs_southern_cascadia_30m_fine_high,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,2,120.0,11,71.02091966498739,71.02091966498739,99.51923076923077,98.69305555555556,0.8261752136752136,2.24079381938494,2.100270661980395,-0.1405231574045449,1,1,0.09313354099867865,26.959173815249837
high,usgs_southern_cascadia_30m_fine_high,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,3,120.0,11,70.46324757901175,70.46324757901175,99.51923076923077,98.73194444444444,0.7872863247863364,2.0213385765830476,1.9999751483199713,-0.021363428263076356,1,1,0.0745081249915529,27.53270665729095
high,usgs_southern_cascadia_30m_fine_high,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,4,120.0,11,69.98255435030794,69.98255435030794,99.03846153846155,97.73333333333333,1.305128205128213,2.17806457383869,2.0227619930709837,-0.1553025807677062,1,1,0.0881317500025034,28.0270712857914
