scene_id,scene_name,target_overlap,quantile,used_ga_cleanup,orientation_deg,line_count,path_length_km,coverage_pct,excess_overlap_pct,moderate_feasible_rate,moderate_coverage_p05,moderate_overlap_p95,strong_feasible_rate,strong_coverage_p05,strong_overlap_p95,selection_score
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.05,0.3,0,0.0,65,5978.135581442896,99.33333333333333,0.0,0.7833333333333333,95.955,0.15551978105849418,0.1,90.05222222222223,2.134596948263729,161.2888888888889
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.05,0.34,0,0.0,65,5978.135581442896,99.33333333333333,0.0,0.7833333333333333,95.955,0.15551978105849418,0.1,90.05222222222223,2.134596948263729,161.2888888888889
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.1,0.18,0,75.0,72,6318.997663461488,100.0,0.0,1.0,98.94805555555556,0.4654820182629026,0.6583333333333333,95.26194444444444,3.2930860304595693,38.45746602145438
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.1,0.22,0,75.0,72,6318.997663461488,100.0,0.0,1.0,98.94805555555556,0.4654820182629026,0.6583333333333333,95.26194444444444,3.2930860304595693,38.45746602145438
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.1,0.26,0,75.0,72,6318.997663461488,100.0,0.0,1.0,98.94805555555556,0.4654820182629026,0.6583333333333333,95.26194444444444,3.2930860304595693,38.45746602145438
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.1,0.3,0,75.0,72,6318.997663461488,100.0,0.0,1.0,98.94805555555556,0.4654820182629026,0.6583333333333333,95.26194444444444,3.2930860304595693,38.45746602145438
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.1,0.34,0,75.0,72,6318.997663461488,100.0,0.0,1.0,98.94805555555556,0.4654820182629026,0.6583333333333333,95.26194444444444,3.2930860304595693,38.45746602145438
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.15,0.18,1,90.0,59,6656.620000000051,100.0,0.0,1.0,98.49916666666667,1.7239158884143717,0.39166666666666666,94.40777777777778,5.71137578448728,81.97045072034265
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.15,0.22,1,90.0,59,6656.620000000051,100.0,0.0,1.0,98.49916666666667,1.7239158884143717,0.39166666666666666,94.40777777777778,5.71137578448728,81.97045072034265
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.15,0.26,1,90.0,59,6656.620000000051,100.0,0.0,1.0,98.49916666666667,1.7239158884143717,0.39166666666666666,94.40777777777778,5.71137578448728,81.97045072034265
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.15,0.3,1,90.0,59,6656.620000000051,100.0,0.0,1.0,98.49916666666667,1.7239158884143717,0.39166666666666666,94.40777777777778,5.71137578448728,81.97045072034265
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.15,0.34,1,90.0,59,6656.620000000051,100.0,0.0,1.0,98.49916666666667,1.7239158884143717,0.39166666666666666,94.40777777777778,5.71137578448728,81.97045072034265
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.2,0.18,1,0.0,77,7061.587073401589,99.33333333333333,0.0,0.7166666666666667,98.82194444444444,4.0896118699033535,0.24166666666666667,96.67944444444446,8.027111991657286,155.39855994546733
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.2,0.22,1,0.0,77,7061.587073401589,99.33333333333333,0.0,0.7166666666666667,98.82194444444444,4.0896118699033535,0.24166666666666667,96.67944444444446,8.027111991657286,155.39855994546733
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,0.2,0.26,1,0.0,77,7061.587073401589,99.33333333333333,0.0,0.7166666666666667,98.82194444444444,4.0896118699033535,0.24166666666666667,96.67944444444446,8.027111991657286,155.39855994546733
